name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
Otso Kantokorpi,01 Helsingin vaalipiiri,31,Vasemmistoliitto,58,Taidekriitikko,korkeakoulututkinto ,http://alastonkriitikko.blogspot.com,-1.38627876,-1.3066146495,0.9114995993,Vasemmistoliberaalit
Marko Haakana,09 Savo-Karjalan vaalipiiri,126,Vasemmistoliitto,47,toiminnanjohtaja,korkeakoulututkinto ,http://www.ehdokas.vasemmisto.fi/markohaakana,-1.3857446441,-1.0189505662,0.0544953889,Vasemmistoliberaalit
Kirsti Puurunen,09 Savo-Karjalan vaalipiiri,136,Vasemmistoliitto,60,aluetoimitsija,korkeakoulututkinto ,http://www.kirstipuurunen.fi,-1.3825142091,-0.4739428913,-0.2966910632,Vasemmistoliberaalit
Alia Dannenberg,09 Savo-Karjalan vaalipiiri,125,Vasemmistoliitto,40,kauppatieteiden tutkija,korkeakoulututkinto ,http://www.dannenberg.fi/alia,-1.3805266307,-1.5450142283,0.6957645176,Vasemmistoliberaalit
Annukka Isomaa,07 Pirkanmaan vaalipiiri,141,Vasemmistoliitto,32,pääluottamusmies & myyjä & varastotyöntekijä &,peruskoulu ,http://www.annukkaisomaa.com,-1.3805200281,-0.4347057513,0.1314497979,Vasemmistoliberaalit
Kaisa Vallavuori,03 Varsinais-Suomen vaalipiiri,148,Vasemmistoliitto,36,Elintarviketyöntekijä,ammattitutkinto ,http://ehdokas.vasemmisto.fi/kaisavallavuori,-1.3757148266,0.170250328,0.1222681182,Vasemmistoliberaalit
Kari Honkala,12 Oulun vaalipiiri,134,Vasemmistoliitto,51,peruskoulunopettaja,korkeakoulututkinto ,http://www.ehdokas.vasemmisto.fi/karihonkala/,-1.3740909666,-0.8168862637,0.4006174396,Vasemmistoliberaalit
Mikko Jokio,01 Helsingin vaalipiiri,30,Vasemmistoliitto,39,Lähihoitaja,ammattitutkinto ,https://www.facebook.com/mikkojokio128,-1.3671121757,-1.2722908512,1.040781687,Vasemmistoliberaalit
Allan Saloranta,10 Vaasan vaalipiiri,32,Vasemmistoliitto,56,Asentaja,peruskoulu ,,-1.3619958507,-0.3587162873,0.7703999801,Vasemmistoliberaalit
Marko Varajärvi,13 Lapin vaalipiiri,28,Vasemmistoliitto,43,puoluesihteeri,korkeakoulututkinto ,http://loimualappiin.fi,-1.3606202002,0.0578938559,0.2645167073,Vasemmistoliberaalit
Eila Tiainen,11 Keski-Suomen vaalipiiri,110,Vasemmistoliitto,69,kansanedustaja & toimittaja,korkeakoulututkinto ,http://eilatiainen.fi/,-1.3442115098,-1.195106796,0.7558957366,Vasemmistoliberaalit
Sami Ronkola,02 Uudenmaan vaalipiiri,183,Vasemmistoliitto,21,nuoriso- ja vapaa-ajanohjaaja,ammattitutkinto ,https://www.facebook.com/pages/Sami-Ronkola-Yksi-meist%C3%A4/259490337577015?ref=bookmarks,-1.3421435032,-0.7775794771,1.2977539675,Vasemmistoliberaalit
Annika Lapintie,03 Varsinais-Suomen vaalipiiri,141,Vasemmistoliitto,59,Kansanedustaja & varatuomari,korkeakoulututkinto ,http://www.annikalapintie.net,-1.3411175432,-0.8946299539,0.1745782884,Vasemmistoliberaalit
Rauno Kesseli,07 Pirkanmaan vaalipiiri,142,Vasemmistoliitto,58,Työsuojeluvaltuutettu,ammattitutkinto ,http://ehdokas.vasemmisto.fi/raunokesseli/,-1.3390108188,-0.8659103073,0.7366853048,Vasemmistoliberaalit
Tarja  Tapio,13 Lapin vaalipiiri,27,Vasemmistoliitto,46,sosiaalityöntekijä,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/tarjatellervotapio/,-1.3355375846,-0.7108002668,0.9469151665,Vasemmistoliberaalit
Heidi Munnukka,06 Hämeen vaalipiiri,27,Vasemmistoliitto,34,Lähihoitaja / Yöhoitaja,ammattitutkinto ,https://www.facebook.com/Heidi.Munnukka,-1.3343098783,-0.8752230584,0.791456743,Vasemmistoliberaalit
Joona Mielonen,08 Kaakkois-Suomen vaalipiiri,64,Vasemmistoliitto,29,apulaisohjaaja,korkeakoulututkinto ,http://www.joonamielonen.com,-1.3325250762,-1.0474002219,1.1113518046,Vasemmistoliberaalit
Inkeri Yritys,13 Lapin vaalipiiri,29,Vasemmistoliitto,60,oikeusneuvoja,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/inkeriyritys/,-1.330688936,-0.2610847501,0.8152941868,Vasemmistoliberaalit
Kaarlo Kivimäki,02 Uudenmaan vaalipiiri,169,Vasemmistoliitto,37,Maantieteen & historian ja yhteiskuntaopin opettaja,korkeakoulututkinto ,http://ehdokas.vasemmisto.fi/kaarlokivimaki/,-1.3226987201,-1.4048325261,0.3489822717,Vasemmistoliberaalit
