name,district,party,age,www,education,segment,oik,imp,lib,vih
Jouni Suonsivu,Pirkanmaa,Itsenäisyyspuolue,54,,Teen yliopistossa tutkintoa valmiiksi,Demarit,-1.332450244,1.213135135,-0.31703492,-0.544455835
Petteri Evilampi,Satakunta,Itsenäisyyspuolue,42,http://www.petterievilampi.fi,Ammatitutkinto,Demarit,-0.973561532,1.97911075,0.451588754,-0.485685359
Kalle Virtanen,Satakunta,Itsenäisyyspuolue,49,,Sosiaalialan peruskoulutus,Vihervasemmisto,-1.518295049,0.30515102,0.548017276,1.043146481
Lena Wiksten,Satakunta,Itsenäisyyspuolue,60,http://www.lenawiksten.fi,Ylempi korkeakoulututkinto,Demarit,-1.282974339,0.008187487,-0.744223681,0.609895368
Katariina Hätinen,Savo-Karjala,Itsenäisyyspuolue,38,,peruskoulu,Demarit,-0.61803059,1.803942681,0.135001934,-0.078356504
Liisa Kylänpää,Savo-Karjala,Itsenäisyyspuolue,65,,Merkonomi,Kansalliskonservatiivit,-0.037149809,0.400555897,-0.537729244,0.558407451
Petri Montonen,Savo-Karjala,Itsenäisyyspuolue,45,,Peruskoulu,Kansalliskonservatiivit,0.050133871,1.282887914,-0.35419609,-0.248536196
Timo Repo,Savo-Karjala,Itsenäisyyspuolue,27,,Ammattikoulu,Demarit,-1.203979248,1.167363387,-0.495802367,0.845178641
Mauno Ruuskanen,Savo-Karjala,Itsenäisyyspuolue,67,http://www.seniory.fi,Teknillinen,Kansalliskonservatiivit,0.241632201,0.913588939,-0.475212418,-0.2114675
Pentti Tolvanen,Savo-Karjala,Itsenäisyyspuolue,66,,yo & teknisiä ja kaupallisia opintoja Suomessa ja ulkomailla,Oikeisto,1.422514955,-0.064659221,-0.190973904,-0.204198122
Ilpo Iso-Peura,Uusimaa,Itsenäisyyspuolue,63,http://alcoholart.vuodatus.net/,Ammatillinen koulu,Demarit,-1.026789735,1.343028311,-0.549069986,0.080043607
Susanna Kaukinen,Uusimaa,Itsenäisyyspuolue,40,https://www.facebook.com/susanna.kaukinen.vaalit,Tekniikan (TKK) ja filosofian (HY) ylioppilas,Demarit,-1.029257778,0.801402354,-0.414150533,0.744570462
Antti Kukkonen,Uusimaa,Itsenäisyyspuolue,39,http://anttikukkonen.puheenvuoro.uusisuomi.fi/kayttaja/anttikukkonen,FM & VTM & ao.,Demarit,-1.21975383,0.972567942,-1.20891192,-1.099945785
Juho Lyytikäinen,Uusimaa,Itsenäisyyspuolue,34,http://www.z15.fi,Ammattikorkeakoulu,Demarit,-0.912007292,1.02382232,0.525012639,0.344846652
Seppo Papunen,Uusimaa,Itsenäisyyspuolue,,,Kultaseppä tekninen kaupallinen yyrittäjä ym...,Kansalliskonservatiivit,0.038383566,1.738701532,-1.271770567,-1.864247069
Sami Parkkonen,Uusimaa,Itsenäisyyspuolue,50,,Korkeakoulu,Demarit,-0.842057166,1.252981675,0.8529775,-0.913177657
Jarmo Tuokko,Uusimaa,Itsenäisyyspuolue,60,http://wwwhttp://jjtuokko.blogspot.fi/,Valtiotieteiden maisteri,Kansalliskonservatiivit,-0.000470874,2.066293777,-2.164824208,0.163659697
Alice Töyrylä,Uusimaa,Itsenäisyyspuolue,53,,Sairaanhoitaja AMK & Sosiaali- ja terveysalan ammattikorkeakoulututkinto,Kansalliskonservatiivit,1.071861775,0.465464205,-0.06838236,0.981515166
Jere Hautoniemi,Vaasa,Itsenäisyyspuolue,29,,Ammatti-Instituutti,Kansalliskonservatiivit,-0.440169342,2.360147524,-0.031126161,-0.304595128
Jere Kolehmainen,Vaasa,Itsenäisyyspuolue,42,http://jerekolehmainen.puheenvuoro.uusisuomi.fi/kayttaja/jerekolehmainen,Filosofian tohtori & Tekniikan tohtori,Demarit,-0.596381333,1.233213386,-0.693084562,0.363685121
Harri Koskela,Vaasa,Itsenäisyyspuolue,32,http://www,Ammatillinen koulutus,Kansalliskonservatiivit,-0.268014347,1.680714177,-0.841280679,-0.257461655
Jouni Peltoniemi,Vaasa,Itsenäisyyspuolue,32,http://jounipeltoniemi.blogspot.fi/,Oikeustieteiden opiskelija,Kansalliskonservatiivit,-0.27088957,1.643114032,0.653527246,0.065968581
Henri Autero,Varsinais-Suomi,Itsenäisyyspuolue,22,http://www.herranterttu.net,Opiskelija,Demarit,-1.229931077,1.045997843,0.806811609,-0.383522568
Jarmo Nevalainen,Varsinais-Suomi,Itsenäisyyspuolue,43,,Keskiaste,Demarit,-0.886910326,0.970694795,-0.687459836,0.212113105
Juhani Kähärä,Helsinki,Piraattipuolue,25,http://www.viskipuolue.fi,Diplomi-insinööri,Oikeisto,1.345929288,-0.428994711,2.318209372,0.210516364
