vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
02 Uudenmaan vaalipiiri;4542;tanskanen;veikko;Vasemmistoliitto;56;M;paperityöntekijä;peruskoulu;-1,15932720037355;,0410192384608238;,411292636553802;5
13 Lapin vaalipiiri;4861;Tapio;Tarja;Vasemmistoliitto;46;F;sosiaalityöntekijä;korkeakoulututkinto;-1,33553758461042;-,710800266824203;,94691516648609;3
08 Kaakkois-Suomen vaalipiiri;5155;Tenhunen;Piia;Vasemmistoliitto;41;F;Sairaanhoitaja/etsivä nuorisotyöntekijä;ammattitutkinto;-,718680302439232;-1,11798939290017;,710747386351185;4
11 Keski-Suomen vaalipiiri;4954;Tiainen;Eila;Vasemmistoliitto;69;F;kansanedustaja, toimittaja;korkeakoulututkinto;-1,34421150979122;-1,19510679596682;,755895736626464;3
12 Oulun vaalipiiri;5143;Toivanen;Pinja;Vasemmistoliitto;39;F;kirvesmies;korkeakoulututkinto; ; ; ; 
07 Pirkanmaan vaalipiiri;5518;Torkkola;Sinikka;Vasemmistoliitto;54;F;Tutkija; ;-1,40328961414546;-,590663250191944;,528466356819908;3
03 Varsinais-Suomen vaalipiiri;4510;Tyyskänen;Eveliina;Vasemmistoliitto;33;F;Sairaanhoitaja opiskelija, valmistuu tänä vuonna;korkeakoulututkinto;-1,55082781323309;-,683854290689621;,740026130423696;3
02 Uudenmaan vaalipiiri;4186;Uotila;Kari;Vasemmistoliitto;60;M;Kansanedustaja;ammattitutkinto;-1,21123243293558;-1,03445026622008;,722608201943942;3
02 Uudenmaan vaalipiiri;5318;Uotinen;Miikka;Vasemmistoliitto;26;M;Operaattori;ammattitutkinto;-,697378245732629;-,152593437665665;,571781518839242;5
08 Kaakkois-Suomen vaalipiiri;6011;Valkonen;Esa;Vasemmistoliitto;0;M; ; ; ; ; ; 
03 Varsinais-Suomen vaalipiiri;5927;Vallavuori;Kaisa;Vasemmistoliitto;36;F;Elintarviketyöntekijä;ammattitutkinto;-1,37571482660189;,17025032796738;,122268118199829;3
13 Lapin vaalipiiri;5319;Varajärvi;Marko;Vasemmistoliitto;43;M;puoluesihteeri;korkeakoulututkinto;-1,36062020022644;,0578938558946862;,264516707263225;3
04 Satakunnan vaalipiiri;5949;Viinamäki;Terttu;Vasemmistoliitto;0;F; ; ; ; ; ; 
11 Keski-Suomen vaalipiiri;4419;Volanen;Matti Vesa;Vasemmistoliitto;68;M;emeritus tutkija, PsT;korkeakoulututkinto;-1,29402364603969;-,90843771305537;1,40946258786151;3
01 Helsingin vaalipiiri;5043;Vuorjoki;Anna;Vasemmistoliitto;38;F;Koulupsykologi;korkeakoulututkinto;-,960093229814876;-1,35914981753697;-,0342139267946149;3
04 Satakunnan vaalipiiri;4293;Välimäki;Erno;Vasemmistoliitto;37;M;Pääluottamusmies, metallityöläinen;ammattitutkinto;-,951851058283892;,801375402847804;,0660259027966852;2
09 Savo-Karjalan vaalipiiri;5709;Väyrynen;Ritva;Vasemmistoliitto;46;F;toimistosihteeri;ylioppilas;-1,01365646177325;-,832931004456034;,191204553670744;5
10 Vaasan vaalipiiri;5020;Walker;Ilmari;Vasemmistoliitto;27;M; ;ylioppilas;-1,24870666573212;-1,03075092714135;,85769110983604;3
02 Uudenmaan vaalipiiri;4578;Wessman;Jaana;Vasemmistoliitto;41;F;lastenpsykiatriaan erikoistuva lääkäri;korkeakoulututkinto;-,786257917646037;-1,1019561466083;1,17369631690159;4
